! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
       39.9072357               0               0               0 10102
       26.1337898               0               0               0 01102
      -894.903229               0               0     -13.1721627 00202
       15.8064184               0               0               0 10012
        2.5233279               0               0               0 01012
       24.9869024               0               0      377.176889 00112
       5.91096156               0               0     -2708.57078 00022
      -4.71048927               0               0     -174.332974 10003
     -0.949356614               0               0      893.518077 01003
       1.49611639               0               0               0 00103
      0.196444306               0               0               0 00013
       0.10590745               0               0     -149.156349 00004
       11.6985411     -5.58975929      1.54120446      4.96781903 50000
      -226.884112         98.5708     -28.3735523     -214.635508 41000
       1391.34712     -671.318594      167.754877      3438.51266 32000
      -2246.65255       1492.8004     -302.194708     -27888.4078 23000
      -1701.51078      693.067403     -225.618195      118850.529 14000
      -634.207373      191.440941     -82.8310777       -209797.8 05000
       6.06879674      14.2531587     -4.00710311      3.07907961 40100
      -170.488655     -140.375663      66.3370958     -71.7570318 31100
       884.525429      487.194457     -239.038963      175.230779 22100
      -531.841014     -1256.03997      468.084927      3660.70792 13100
      -240.785251     -524.707067      212.384904     -18679.7717 04100
       11.3576626     -16.1554308      3.38073225     -9.82929708 30200
       -208.98526      107.706475       12.543852      223.223395 21200
       727.368928     -280.186191     -107.884345     -1934.55934 12200
        20.201784      193.156761      -174.61369      6295.96049 03200
       7.61480495      3.23751757     -1.08204834      7.53241271 20300
      -131.259557      351.887737     -315.365991     -173.118732 11300
       1536.57866      1979.84958     -204.378772      1077.44822 02300
       11.7374347     -24.8656887      8.34758287     -1.11240314 10400
       5.28670719     -281.015071      76.9767164     -107.686882 01400
      -7.79003557       81.447588     -27.7914383     -1.36754912 00500
       1.84316001     -27.8048267     -8.29775965     -48.5819865 40010
       184.022782     -226.109627      20.7333655      1952.97191 31010
      -325.760895      2191.32804     -706.917874     -20776.5089 22010
      -186.149095      616.206782     -178.268567      79440.7749 13010
      -50.9162773      104.822218     -25.9503872     -71841.5676 04010
       18.4546258      223.263215     -116.365471      63.7792928 30110
       320.463362      121.573233      69.8303962      -1765.8266 21110
       137.693075      139.595027     -18.0308338      11961.6529 12110
       28.2778674      26.0616471     -8.45015238     -36062.5709 03110
       105.534377     -804.259266      516.518334     -8.69875712 20210
       -2606.5587     -10509.5927      4042.53566      1607.73072 11210
      -336.810488     -1499.14404      632.801527     -11675.9844 02210
      -91.8062543      722.976991     -154.914695      165.982247 10310
      -750.041113      1361.43272     -609.950178      946.869731 01310
      -112.296647      144.486291       155.24682      164.395576 00410
      -261.710854     -1068.76531      553.132663     -2407.64911 30020
       336.919241     -426.115835      98.3431481      55520.9916 21020
       96.2530642     -131.601751      22.4353401     -418149.697 12020
       20.5689027     -26.3918146      3.13635316      1118597.09 03020
       52.2994089      15049.2579     -5002.10915       332.50163 20120
      -332.926802     -651.919707      279.189918     -14254.2451 11120
