! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
  -74783.0323      692151.957     -3026.13817     -14254.2451     11120
   1002799.72     -3501741.62     -295375.659      39788.7678     11030
   26.8141654     -18.2178990     -8.96188758     -1.11240314     10400
   679.960706     -697.440513      665.919535      165.982247     10310
  -10749.8971      25427.1248     -14064.7604     -3998.95843     10220
   50252.5062     -125479.087      82432.5454      29493.1698     10130
  -134503.601     -25108.9107     -135945.913     -13196.6766     10040
   402935.509      34909.5789      3707.22433     -209797.800     05000
  -34873.8714      18013.7327     -23936.4641     -18679.7717     04100
   445800.075     -1348832.17      750250.916     -71841.5676     04010
   18612.3817      3117.65485      1009.43859      6295.96049     03200
  -490290.804     -86510.8305      7283.88871     -36062.5709     03110
   4915418.83     -5158.77476     -83324.0871      1118597.09     03020
   1285.08960     -3124.95061     -424.851311      1077.44822     02300
   36021.8096      187272.291      2493.83148     -11675.9844     02210
   159702.028     -2929532.28     -10475.6281      52657.7588     02120
  -3584961.16      15022189.0      1294123.34     -118752.747     02030
   90.2492703     -78.7483642     -54.6046084     -107.686882     01400
  -5904.58071      356.899936      2299.55599      946.869731     01310
  -35369.6412     -5774.36051     -17331.6328      25102.1443     01220
   958242.832     -93212.6724      174180.625     -259877.198     01130
  -3103092.11      334407.155     -827006.177      303094.278     01040
   4.09533404     -9.18910873     -46.6671138     -1.36754912     00500
   675.111665      135.123532      2762.69727      164.395576     00410
  -13584.1265      29454.8125     -76146.9103      90.2668576     00320
   25859.6823     -781485.118      1162713.12      1100.41524     00230
   551175.558      7635935.35     -9183362.96     -17333.4694     00140
  -2167868.12     -27570558.4      29012785.2      30963.1531     00050
   1.12584242      0.00000000      0.00000000     0.768177700     00001
  -3.30929606      0.00000000      0.00000000     -1.24824954     10001
   9.55821560      0.00000000      0.00000000      7.18980365     01001
  -12.8075508      0.00000000      0.00000000     -1.79480024     00002
   31.3282870      0.00000000      0.00000000      4.30979026     20001
  -366.358594      0.00000000      0.00000000     -47.5141035     11001
   1281.27264      0.00000000      0.00000000      127.404997     02001
   8.46492946      0.00000000      0.00000000      1.52132362     00201
  -212.181332      0.00000000      0.00000000     -44.8420242     00111
   86.2168045      0.00000000      0.00000000      13.9035869     10002
  -202.375577      0.00000000      0.00000000     -75.1770025     01002
   1292.40575      0.00000000      0.00000000      332.945301     00021
   152.465743      412.398418     -118.551680      0.00000000     00012
   56.8142343      0.00000000      0.00000000      15.5951865     00003
  -111.090641      0.00000000      0.00000000     -15.7177358     30001
   1301.23090      0.00000000      0.00000000      249.924995     21001
  -3377.64137      0.00000000      0.00000000     -1205.61003     12001
  -1080.57253      0.00000000      0.00000000      1650.70638     03001
  -206.758367      0.00000000      0.00000000     -8.63945412     10201
   1286.12280      0.00000000      0.00000000      51.7345340     01201
   457.388990      0.00000000      0.00000000      246.328770     10111
   315.521007      0.00000000      0.00000000     -1468.88025     01111
  -2.86376084      0.00000000      0.00000000     -77.6962058     20002
  -284.532504      0.00000000      0.00000000      808.267218     11002
  -54.9686786      0.00000000      0.00000000     -1887.27393     02002
  -894.903229      0.00000000      0.00000000     -13.1721627     00202
  -58.1868148      0.00000000      0.00000000     -1758.72381     10021
   28.1001103      0.00000000      0.00000000      10443.6142     01021
   24.9869024      0.00000000      0.00000000      377.176889     00112
  -4.71048927      0.00000000      0.00000000     -174.332974     10003
 -0.949356614      0.00000000      0.00000000      893.518077     01003
   5.91096156      0.00000000      0.00000000     -2708.57078     00022
  0.105907450      0.00000000      0.00000000     -149.156349     00004
  0.744204334E-01  0.00000000      0.00000000      0.00000000     00101
 -0.932044457      0.00000000      0.00000000      0.00000000     00011
   2.84521581      0.00000000      0.00000000      0.00000000     10101
  -25.4393730      0.00000000      0.00000000      0.00000000     01101
   13.7051555      0.00000000      0.00000000      0.00000000     10011
  -72.5425087      0.00000000      0.00000000      0.00000000     01011
   11.1885519      0.00000000      0.00000000      0.00000000     00102
  -29.8576040      0.00000000      0.00000000      0.00000000     20101
   257.607594      0.00000000      0.00000000      0.00000000     11101
   222.800622      0.00000000      0.00000000      0.00000000     02101
  -5.74703998      0.00000000      0.00000000      0.00000000     00301
  -58.3774171      0.00000000      0.00000000      0.00000000     20011
  -75.7986407      0.00000000      0.00000000      0.00000000     11011
  -20.0306669      0.00000000      0.00000000      0.00000000     02011
   81.5699850      0.00000000      0.00000000      0.00000000     00211
   39.9072357      0.00000000      0.00000000      0.00000000     10102
   26.1337898      0.00000000      0.00000000      0.00000000     01102
   11.1028012      0.00000000      0.00000000      0.00000000     00121
   15.8064184      0.00000000      0.00000000      0.00000000     10012
   2.52332790      0.00000000      0.00000000      0.00000000     01012
   1.49611639      0.00000000      0.00000000      0.00000000     00103
   2.94427172      0.00000000      0.00000000      0.00000000     00031
  0.196444306      0.00000000      0.00000000      0.00000000     00013
   169.573680      0.00000000      0.00000000      0.00000000     40001
  -1188.40309      0.00000000      0.00000000      0.00000000     31001
  -2564.00859      0.00000000      0.00000000      0.00000000     22001
  -796.126266      0.00000000      0.00000000      0.00000000     13001
  -170.135856      0.00000000      0.00000000      0.00000000     04001
   25.2737324      0.00000000      0.00000000      0.00000000     30101
  -302.117798      0.00000000      0.00000000      0.00000000     21101
   10.5088748      0.00000000      0.00000000      0.00000000     12101
   17.9545609      0.00000000      0.00000000      0.00000000     03101
   393.042869      0.00000000      0.00000000      0.00000000     20201
  -2654.79358      0.00000000      0.00000000      0.00000000     11201
  -675.207959      0.00000000      0.00000000      0.00000000     02201
   31.5374558      0.00000000      0.00000000      0.00000000     10301
  -66.2872749      0.00000000      0.00000000      0.00000000     01301
   11.0483668      0.00000000      0.00000000      0.00000000     00401
   53.9952733      0.00000000      0.00000000      0.00000000     30011
   19.8514223      0.00000000      0.00000000      0.00000000     21011
   6.99512779      0.00000000      0.00000000      0.00000000     12011
   2.03058969      0.00000000      0.00000000      0.00000000     03011
  -414.755722      0.00000000      0.00000000      0.00000000     20111
  -242.924295      0.00000000      0.00000000      0.00000000     11111
  -53.2831769      0.00000000      0.00000000      0.00000000     02111
   14.0854426      0.00000000      0.00000000      0.00000000     10211
  -7.18970025      0.00000000      0.00000000      0.00000000     01211
   46.6175282      0.00000000      0.00000000      0.00000000     00311
   327.023510      0.00000000      0.00000000      0.00000000     30002
  -46.7603764      0.00000000      0.00000000      0.00000000     21002
  -13.1130776      0.00000000      0.00000000      0.00000000     12002
  -2.14608775      0.00000000      0.00000000      0.00000000     03002
  -405.162634      0.00000000      0.00000000      0.00000000     20102
  -37.8327394      0.00000000      0.00000000      0.00000000     11102
  -3.28616433      0.00000000      0.00000000      0.00000000     02102
  -797.756623      0.00000000      0.00000000      0.00000000     10202
  -100.253463      0.00000000      0.00000000      0.00000000     01202
  -58.1494000      0.00000000      0.00000000      0.00000000     00302
  -49.7218825      0.00000000      0.00000000      0.00000000     20021
  -23.4940000      0.00000000      0.00000000      0.00000000     11021
  -4.63065295      0.00000000      0.00000000      0.00000000     02021
  -7.01252658      0.00000000      0.00000000      0.00000000     10121
  -1.66128414      0.00000000      0.00000000      0.00000000     01121
   8.99761159      0.00000000      0.00000000      0.00000000     00221
  -26.9158564      0.00000000      0.00000000      0.00000000     20012
  -2.93740577      0.00000000      0.00000000      0.00000000     11012
 -0.281699956      0.00000000      0.00000000      0.00000000     02012
  -44.2613806      0.00000000      0.00000000      0.00000000     10112
  -5.18873926      0.00000000      0.00000000      0.00000000     01112
  -2.30913015      0.00000000      0.00000000      0.00000000     00212
   12.9742811      0.00000000      0.00000000      0.00000000     20003
   1.29863794      0.00000000      0.00000000      0.00000000     11003
  0.179319821      0.00000000      0.00000000      0.00000000     02003
  0.359636043      0.00000000      0.00000000      0.00000000     10103
 -0.686000125E-01  0.00000000      0.00000000      0.00000000     01103
  0.479897726      0.00000000      0.00000000      0.00000000     00203
  -1.51837641      0.00000000      0.00000000      0.00000000     10031
 -0.259505376      0.00000000      0.00000000      0.00000000     01031
   1.21378871      0.00000000      0.00000000      0.00000000     00131
  -3.83394487      0.00000000      0.00000000      0.00000000     10022
 -0.448803101      0.00000000      0.00000000      0.00000000     01022
  0.432742246E-01  0.00000000      0.00000000      0.00000000     00122
  0.433795780E-01  0.00000000      0.00000000      0.00000000     10013
  0.381017134E-03  0.00000000      0.00000000      0.00000000     01013
  0.717327023E-01  0.00000000      0.00000000      0.00000000     00113
  0.404935152E-02  0.00000000      0.00000000      0.00000000     10004
 -0.704014248E-03  0.00000000      0.00000000      0.00000000     01004
  0.417717692E-02  0.00000000      0.00000000      0.00000000     00104
  0.265212468      0.00000000      0.00000000      0.00000000     00041
  0.342938618E-01  0.00000000      0.00000000      0.00000000     00032
  0.274219030E-01  0.00000000      0.00000000      0.00000000     00023
  0.382346774E-02  0.00000000      0.00000000      0.00000000     00014
  0.146595810E-02  0.00000000      0.00000000      0.00000000     00005
  -221.978975      0.00000000      0.00000000      0.00000000     50001
   2081.48433      0.00000000      0.00000000      0.00000000     41001
  -430.560936      0.00000000      0.00000000      0.00000000     32001
  -218.050288      0.00000000      0.00000000      0.00000000     23001
  -55.5844501      0.00000000      0.00000000      0.00000000     14001
  -11.3642568      0.00000000      0.00000000      0.00000000     05001
   108.432463      0.00000000      0.00000000      0.00000000     40101
  -931.864934      0.00000000      0.00000000      0.00000000     31101
  -192.977158      0.00000000      0.00000000      0.00000000     22101
  -28.6473383      0.00000000      0.00000000      0.00000000     13101
  -3.41017534      0.00000000      0.00000000      0.00000000     04101
   61.3278498      0.00000000      0.00000000      0.00000000     30201
  -43.6289186      0.00000000      0.00000000      0.00000000     21201
  -47.1521819      0.00000000      0.00000000      0.00000000     12201
  -14.9198830      0.00000000      0.00000000      0.00000000     03201
   58.8310901      0.00000000      0.00000000      0.00000000     20301
  -36.3378650      0.00000000      0.00000000      0.00000000     11301
  -8.01512328      0.00000000      0.00000000      0.00000000     02301
  -104.944287      0.00000000      0.00000000      0.00000000     10401
   34.7713353      0.00000000      0.00000000      0.00000000     01401
  -122.288125      0.00000000      0.00000000      0.00000000     00501
  -77.5453423      0.00000000      0.00000000      0.00000000     40011
  -64.1314449      0.00000000      0.00000000      0.00000000     31011
  -13.9857505      0.00000000      0.00000000      0.00000000     22011
  -2.33654082      0.00000000      0.00000000      0.00000000     13011
 -0.340596491      0.00000000      0.00000000      0.00000000     04011
   29.3394194      0.00000000      0.00000000      0.00000000     30111
   48.1149331      0.00000000      0.00000000      0.00000000     21111
   9.50174924      0.00000000      0.00000000      0.00000000     12111
   1.38837541      0.00000000      0.00000000      0.00000000     03111
   52.4792515      0.00000000      0.00000000      0.00000000     20211
   3.80058742      0.00000000      0.00000000      0.00000000     11211
  0.234555136      0.00000000      0.00000000      0.00000000     02211
   39.5808085      0.00000000      0.00000000      0.00000000     10311
   15.2563542      0.00000000      0.00000000      0.00000000     01311
  -7.28080327      0.00000000      0.00000000      0.00000000     00411
  -597.497346      0.00000000      0.00000000      0.00000000     40002
  -102.721749      0.00000000      0.00000000      0.00000000     31002
  -15.3681107      0.00000000      0.00000000      0.00000000     22002
  -2.17208316      0.00000000      0.00000000      0.00000000     13002
 -0.274609264      0.00000000      0.00000000      0.00000000     04002
   106.837983      0.00000000      0.00000000      0.00000000     30102
   12.3766158      0.00000000      0.00000000      0.00000000     21102
   1.46530330      0.00000000      0.00000000      0.00000000     12102
  0.185393293      0.00000000      0.00000000      0.00000000     03102
   11.8887131      0.00000000      0.00000000      0.00000000     20202
  -2.55669988      0.00000000      0.00000000      0.00000000     11202
 -0.863809017      0.00000000      0.00000000      0.00000000     02202
   18.8047014      0.00000000      0.00000000      0.00000000     10302
   2.49667580      0.00000000      0.00000000      0.00000000     01302
  -3.93088497      0.00000000      0.00000000      0.00000000     00402
   12.7034651      0.00000000      0.00000000      0.00000000     30021
   7.96187516      0.00000000      0.00000000      0.00000000     21021
   1.60982507      0.00000000      0.00000000      0.00000000     12021
  0.257565675      0.00000000      0.00000000      0.00000000     03021
   5.93574507      0.00000000      0.00000000      0.00000000     20121
  0.679348453      0.00000000      0.00000000      0.00000000     11121
  0.757550151E-01  0.00000000      0.00000000      0.00000000     02121
   7.36294581      0.00000000      0.00000000      0.00000000     10221
   2.30080135      0.00000000      0.00000000      0.00000000     01221
 -0.118383007      0.00000000      0.00000000      0.00000000     00321
   14.4258145      0.00000000      0.00000000      0.00000000     30012
   1.52658163      0.00000000      0.00000000      0.00000000     21012
  0.163028817      0.00000000      0.00000000      0.00000000     12012
  0.171689509E-01  0.00000000      0.00000000      0.00000000     03012
   15.0743734      0.00000000      0.00000000      0.00000000     20112
   1.60706583      0.00000000      0.00000000      0.00000000     11112
  0.166465023      0.00000000      0.00000000      0.00000000     02112
   2.28803297      0.00000000      0.00000000      0.00000000     10212
  0.265413449      0.00000000      0.00000000      0.00000000     01212
   3.26683930      0.00000000      0.00000000      0.00000000     00312
  -1.44694805      0.00000000      0.00000000      0.00000000     30003
 -0.301551821      0.00000000      0.00000000      0.00000000     21003
 -0.979405958E-01  0.00000000      0.00000000      0.00000000     12003
 -0.218874633E-01  0.00000000      0.00000000      0.00000000     03003
  0.213731277      0.00000000      0.00000000      0.00000000     20103
 -0.424871757E-02  0.00000000      0.00000000      0.00000000     11103
 -0.263981236E-02  0.00000000      0.00000000      0.00000000     02103
 -0.390336182      0.00000000      0.00000000      0.00000000     10203
 -0.220563449E-01  0.00000000      0.00000000      0.00000000     01203
 -0.252061070E-01  0.00000000      0.00000000      0.00000000     00303
  0.835395726      0.00000000      0.00000000      0.00000000     20031
  0.101082424      0.00000000      0.00000000      0.00000000     11031
  0.113826515E-01  0.00000000      0.00000000      0.00000000     02031
  0.967539242      0.00000000      0.00000000      0.00000000     10131
  0.283940573      0.00000000      0.00000000      0.00000000     01131
  0.704094684E-01  0.00000000      0.00000000      0.00000000     00231
   1.96621152      0.00000000      0.00000000      0.00000000     20022
  0.211929662      0.00000000      0.00000000      0.00000000     11022
  0.222297020E-01  0.00000000      0.00000000      0.00000000     02022
  0.192176728      0.00000000      0.00000000      0.00000000     10122
  0.208429359E-01  0.00000000      0.00000000      0.00000000     01122
  0.409197722      0.00000000      0.00000000      0.00000000     00222
  0.116208798E-01  0.00000000      0.00000000      0.00000000     20013
 -0.861751979E-03  0.00000000      0.00000000      0.00000000     11013
 -0.368034008E-03  0.00000000      0.00000000      0.00000000     02013
 -0.305595883E-01  0.00000000      0.00000000      0.00000000     10113
  0.792820773E-03  0.00000000      0.00000000      0.00000000     01113
 -0.103581312E-02  0.00000000      0.00000000      0.00000000     00213
 -0.317665296E-01  0.00000000      0.00000000      0.00000000     20004
 -0.868692894E-02  0.00000000      0.00000000      0.00000000     11004
 -0.130336633E-02  0.00000000      0.00000000      0.00000000     02004
 -0.485930059E-02  0.00000000      0.00000000      0.00000000     10104
 -0.181322677E-03  0.00000000      0.00000000      0.00000000     01104
 -0.225313015E-01  0.00000000      0.00000000      0.00000000     00204
  0.102736083      0.00000000      0.00000000      0.00000000     10041
  0.316791817E-01  0.00000000      0.00000000      0.00000000     01041
  0.177406989E-01  0.00000000      0.00000000      0.00000000     00141
  0.128130316E-01  0.00000000      0.00000000      0.00000000     10032
  0.134309873E-02  0.00000000      0.00000000      0.00000000     01032
  0.442654916E-01  0.00000000      0.00000000      0.00000000     00132
 -0.500745668E-02  0.00000000      0.00000000      0.00000000     10023
 -0.362264901E-04  0.00000000      0.00000000      0.00000000     01023
 -0.100846774E-03  0.00000000      0.00000000      0.00000000     00123
 -0.259911565E-03  0.00000000      0.00000000      0.00000000     10014
 -0.865988929E-05  0.00000000      0.00000000      0.00000000     01014
  0.126433262E-03  0.00000000      0.00000000      0.00000000     00114
 -0.376405317E-03  0.00000000      0.00000000      0.00000000     10005
 -0.495262130E-04  0.00000000      0.00000000      0.00000000     01005
  0.505435025E-04  0.00000000      0.00000000      0.00000000     00105
  0.318778677E-02  0.00000000      0.00000000      0.00000000     00051
  0.474276817E-02  0.00000000      0.00000000      0.00000000     00042
  0.108549858E-04  0.00000000      0.00000000      0.00000000     00033
  0.908354900E-04  0.00000000      0.00000000      0.00000000     00024
  0.311879063E-05  0.00000000      0.00000000      0.00000000     00015
  0.232698271E-05  0.00000000      0.00000000      0.00000000     00006
   0.00000000      0.00000000      0.00000000      0.00000000     00000
 ---------------------------------------------------------------------
